_id,title,description,type,category,location,locationFound,date,imageUrl,status,reportedBy,claimantId,claimProof,createdAt,updatedAt
66f200000000000000000001,Lost HP Laptop Charger in Room 302,Black HP 65W charger left near front bench after DBMS lab,lost,electronics,Room 302,Room 302,2026-08-20T10:30:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a3,,,2026-08-20T10:35:00.000Z,2026-08-20T10:35:00.000Z
66f200000000000000000002,Found: Blue Scientific Calculator,Found Casio fx-991ES calculator in Lab 4. Claim with proof.,found,electronics,Lab 4,Lab 4,2026-08-21T14:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a4,,,2026-08-21T14:10:00.000Z,2026-08-21T14:10:00.000Z
66f200000000000000000003,Lost College ID Card - Saaim,Lost NIE ID card with USN 4NI24CS180 near CSE Block entrance,lost,id_cards,CSE Block Entrance,CSE Block Entrance,2026-08-22T09:15:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a3,,,2026-08-22T09:20:00.000Z,2026-08-22T09:20:00.000Z
66f200000000000000000004,Found: Library Book - DBMS by Korth,Found Database System Concepts book with library stamp in Main Library 2nd floor,found,books,Main Library 2nd Floor,Main Library 2nd Floor,2026-08-23T11:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a7,,,2026-08-23T11:05:00.000Z,2026-08-23T11:05:00.000Z
66f200000000000000000005,Lost Bike Keys with Red Keychain,Lost Hero bike keys with red keychain near Parking Lot,lost,keys,Parking Lot,Parking Lot,2026-08-24T17:45:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a4,,,2026-08-24T18:00:00.000Z,2026-08-24T18:00:00.000Z
66f200000000000000000006,Found: Black Boat Earbuds Case,Found black Boat Airdopes case without buds in Seminar Hall,found,electronics,Seminar Hall,Seminar Hall,2026-08-25T13:20:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a5,,,2026-08-25T13:30:00.000Z,2026-08-25T13:30:00.000Z
66f200000000000000000007,Lost Blue Notebook - DSA Notes,Blue ruled notebook with DSA notes and name Shivam on cover lost in Room 205,lost,books,Room 205,Room 205,2026-08-26T10:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a4,,,2026-08-26T10:10:00.000Z,2026-08-26T10:10:00.000Z
66f200000000000000000008,Found: Grey Hoodie in Canteen,Found grey HRX hoodie size M left on chair in college canteen,found,clothing,College Canteen,College Canteen,2026-08-27T12:40:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a6,,,2026-08-27T12:50:00.000Z,2026-08-27T12:50:00.000Z
66f200000000000000000009,Lost Silver Water Bottle Milton,Silver Milton 1L bottle lost near Sports Ground,lost,accessories,Sports Ground,Sports Ground,2026-08-28T16:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a7,,,2026-08-28T16:10:00.000Z,2026-08-28T16:10:00.000Z
66f200000000000000000010,Found: USB Pendrive 32GB SanDisk,Found black SanDisk 32GB pendrive in Lab 2 near PC 12,found,electronics,Lab 2,Lab 2,2026-08-29T15:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a2,,,2026-08-29T15:05:00.000Z,2026-08-29T15:05:00.000Z
66f200000000000000000011,Lost iPhone 13 Back Cover - Transparent,Transparent cover for iPhone 13 lost between Admin Block and Library,lost,accessories,Admin Block to Library,Admin Block to Library,2026-08-30T09:30:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a6,,,2026-08-30T09:40:00.000Z,2026-08-30T09:40:00.000Z
66f200000000000000000012,Found: Set of Room Keys with Green Tag,Found 3 keys with green Hostel B tag near Hostel B mess,found,keys,Hostel B Mess,Hostel B Mess,2026-08-31T19:00:00.000Z,,claimed,66f1a1a1a1a1a1a1a1a1a1a5,66f1a1a1a1a1a1a1a1a1a1a4,Described key count and tag correctly,2026-08-31T19:05:00.000Z,2026-09-02T10:00:00.000Z
66f200000000000000000013,Lost Casio Watch Black Dial,Black Casio vintage watch lost in Boys Washroom CSE Block,lost,accessories,CSE Block Washroom,CSE Block Washroom,2026-09-01T11:15:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a3,,,2026-09-01T11:20:00.000Z,2026-09-01T11:20:00.000Z
